Version,forYear,measureType,currencyType,_row_number
MTD,2023,Act,CFX,1
MTD,2023,Act,RFX,2
MTD,2024,Act,CFX,3
MTD,2024,Act,FWD,4
MTD,2024,Act,RFX,5
MTD,2025,Act,CFX,6
MTD,2025,Act,FWD,7
MTD,2025,Act,RFX,8
MTD,2025,Bud,CFX,9
MTD,2025,Bud,FWD,10
MTD,2025,Bud,RFX,11
